edad	is_condicion_fisica	detalle_condicion	epoca	is_camino_realizado_prev	ruta	dias	distancia	is_calzado_adecuado	is_tr_mochila	is_reserva_aloj	etapa_ideal	nota	consejos	intensidad_km_dia	is_experto_senderismo	genero_Mujer	pais_Argentina	pais_Colombia	pais_EEUU	pais_España	pais_Francia	pais_Italia	pais_México	pais_Perú	pais_Portugal	pais_Reino Unido	calzado_Playeros 	calzado_Sandalias de trekking	calzado_Zapatillas de trail running	calzado_Zapatillas deportivas normales	modo_realizacion_A pie	modo_realizacion_En bici	alojamiento_Albergues privados, Hostales / Hoteles	alojamiento_Albergues públicos	alojamiento_Albergues públicos, Albergues privados	alojamiento_Albergues públicos, Albergues privados, Airbnb	alojamiento_Albergues públicos, Albergues privados, Hostales / Hoteles	alojamiento_Hostales / Hoteles	alojamiento_Hostales / Hoteles, Airbnb	alojamiento_Hostales / Hoteles, Pensiones	alojamiento_No aplica	is_volver_a_hacer_Tal vez	is_lesion_Sí, importante (me hizo abandonar)	is_lesion_Sí, leve	is_lesion_Sí, moderado	alojamiento_Albergues privados, Hostales / Hoteles	alojamiento_Albergues públicos	alojamiento_Albergues públicos, Albergues privados	alojamiento_Albergues públicos, Albergues privados, Airbnb	alojamiento_Albergues públicos, Albergues privados, Hostales / Hoteles	alojamiento_Hostales / Hoteles	alojamiento_Hostales / Hoteles, Airbnb	alojamiento_Hostales / Hoteles, Pensiones	alojamiento_No aplica	motivo_Cultural/turístico, Deportivo	motivo_Cultural/turístico, Deportivo, Personal/reflexivo	motivo_Cultural/turístico, Deportivo, Religioso	motivo_Cultural/turístico, Personal/reflexivo	motivo_Cultural/turístico, Personal/reflexivo, Religioso	motivo_Cultural/turístico, Religioso	motivo_Deportivo	motivo_Deportivo, Cultural/turístico	motivo_Deportivo, Cultural/turístico, Personal/reflexivo	motivo_Deportivo, Personal/reflexivo	motivo_Deportivo, Personal/reflexivo, Religioso	motivo_Deportivo, Religioso	motivo_Disfrutar de mis amigos	motivo_Personal/reflexivo	motivo_Personal/reflexivo, Religioso	motivo_Religioso	motivo_Religioso, Cultural/turístico	motivo_Religioso, Cultural/turístico, Personal/reflexivo	motivo_Religioso, Deportivo	motivo_Religioso, Deportivo, Cultural/turístico, Personal/reflexivo	motivo_Religioso, Deportivo, Personal/reflexivo	motivo_Religioso, Personal/reflexivo	motivo_Religioso, Personal/reflexivo, Una cosa te lleva  a la otra si darte cuenta.	motivo_Turismo	nivel_expereincia_previo_Básica (≤ 10 km ocasionalmente)	nivel_expereincia_previo_Moderada (10–20 km regularmente)	nivel_expereincia_previo_Ninguna	condicion_previa_Baja	condicion_previa_Media	dureza_Moderadas	dureza_Muy variables	dureza_Suaves	hace_cuanto_Este año	hace_cuanto_Más de 2 años	temporada_Otoño	temporada_Primavera	temporada_Verano	grupo_edad_30-39	grupo_edad_40-49	grupo_edad_50-59	grupo_edad_60-70
32.0	0	No	Verano	0	Francés	5.0	100	0	0	1	Medias (~20 km con algo de desnivel)	9	Sin respuesta	20.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0
32.0	0	No	Verano	0	Francés	5.0	100	0	0	1	Medias (~20 km con algo de desnivel)	9	Hacer etapas parecidas en distancia y terreno antes	20.0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0
32.0	0	No	Primavera	1	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	8	Sin respuesta	16.666666666666668	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0
32.0	0	Migrañas tensionales	Primavera	0	Inglés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	9	Sin respuesta	16.666666666666668	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0
21.0	0	No	Verano	1	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10	Prefiero no revelar y que cada uno viva su camino, a mí me cambió la vida hace cinco años y desde ese momento lo hago todos los años, es una experiencia única y que todo el que lo hace disfruta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
32.0	0	No	Verano	0	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10	Disfrutarlo al maximo	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0
32.0	0	No	Primavera	0	Francés	6.0	100	1	1	1	Cortas y fáciles (≤ 15 km)	8	Disfrutarlo 	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0
32.0	0	Ninguna 	Primavera	0	Francés	6.0	100	1	0	1	Medias (~20 km con algo de desnivel)	10	Sin respuesta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0
20.0	0	No	Verano	0	Portugués	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	8	Sin respuesta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0
25.0	0	No	Primavera	0	Francés	5.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10	Hazlo, y llévate mucho compeed!	20.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
