edad,genero,pais,is_condicion_fisica,detalle_condicion,nivel_expereincia_previo,condicion_previa,motivo,n_acompañantes,epoca,is_camino_realizado_prev,ruta,dias,inicio,distancia,dureza,calzado,is_calzado_adecuado,is_tr_mochila,is_reserva_aloj,alojamiento,hace_cuanto,is_volver_a_hacer,etapa_ideal,nota,is_lesion,consejos,modo_realizacion
32.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",3.0,Verano,0,Francés,5.0,Sarria,100,Moderadas,Botas de montaña,0,0,1,"Albergues privados, Hostales / Hoteles",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve",Sin respuesta,A pie
32.0,Hombre,España,0,No,Avanzada (rutas largas con mochila/montaña),Media,"Deportivo, Cultural/turístico, Personal/reflexivo",3.0,Verano,0,Francés,5.0,Sarria,100,Moderadas,Playeros ,0,0,1,"Albergues públicos, Albergues privados, Hostales / Hoteles",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,Hacer etapas parecidas en distancia y terreno antes,A pie
32.0,Hombre,España,0,No,Moderada (10–20 km regularmente),Media,"Religioso, Cultural/turístico",6.0,Primavera,1,Francés,6.0,O Cebreiro,100,Moderadas,Botas de montaña,1,1,1,Hostales / Hoteles,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),8,"Sí, leve",Sin respuesta,A pie
32.0,Mujer,Colombia,0,Migrañas tensionales,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,Desconocido,Primavera,0,Inglés,6.0,Ferrol,100,Moderadas,Zapatillas deportivas normales,1,1,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,Sin respuesta,A pie
21.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Cultural/turístico, Personal/reflexivo",6.0,Verano,1,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,1,1,Albergues privados,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve","Prefiero no revelar y que cada uno viva su camino, a mí me cambió la vida hace cinco años y desde ese momento lo hago todos los años, es una experiencia única y que todo el que lo hace disfruta",A pie
32.0,Mujer,España,0,No,Ninguna,Media,Disfrutar de mis amigos,3.0,Verano,0,Francés,6.0,Sarria,100,Moderadas,Zapatillas de trail running,1,1,1,Albergues privados,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Disfrutarlo al maximo,A pie
32.0,Mujer,España,0,No,Ninguna,Baja,Cultural/turístico,3.0,Primavera,0,Francés,6.0,Sarria,100,Moderadas,Zapatillas de trail running,1,1,1,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,Disfrutarlo ,A pie
32.0,Mujer,España,0,Ninguna ,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,Desconocido,Primavera,0,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,0,1,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,Sin respuesta,A pie
20.0,Mujer,España,0,No,Ninguna,Media,"Deportivo, Cultural/turístico, Personal/reflexivo",3.0,Verano,0,Portugués,6.0,A Guarda,100,Moderadas,Zapatillas deportivas normales,1,1,1,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,"Sí, leve",Sin respuesta,A pie
25.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,3.0,Primavera,0,Francés,5.0,Sarria,100,Exigentes,Zapatillas de trail running,1,1,1,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve","Hazlo, y llévate mucho compeed!",A pie
23.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,Cultural/turístico,6.0,Verano,1,Francés,10.0,O Cebreiro,100,Exigentes,Zapatillas de trail running,1,0,1,"Albergues públicos, Albergues privados, Airbnb",Más de 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,Sin respuesta,A pie
32.0,Mujer,España,0,No,Ninguna,Media,"Cultural/turístico, Personal/reflexivo",3.0,Otoño,0,Francés,6.0,Sarria,100,Moderadas,Zapatillas de trail running,1,1,1,Albergues públicos,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, moderado",Sin respuesta,A pie
32.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Personal/reflexivo",Desconocido,Primavera,1,Portugués,6.0,Tui,100,Muy variables,Botas de montaña,1,0,1,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Que se prepare un mínimo físicamente, que lleve en la mochila lo imprescindible y que le ponga muy buena actitud porque habrá momentos duros pero con alegría todo se lleva mejor!! ",A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,Desconocido,Primavera,0,Francés,6.0,Sarria,100,Moderadas,Zapatillas de trail running,1,1,1,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,Yo lo hice corriendo ,A pie
31.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Alta,"Cultural/turístico, Personal/reflexivo",Desconocido,Primavera,0,Francés,5.0,Sarria,100,Moderadas,Sandalias de trekking,1,1,1,Hostales / Hoteles,Este año,Sí,Largas y exigentes (≥ 25 km),10,"Sí, leve",Sin respuesta,A pie
32.0,Hombre,España,0,No,Avanzada (rutas largas con mochila/montaña),Alta,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",3.0,Primavera,0,Desconocido,5.0,Porrá Do Brollon,200,Moderadas,Zapatillas de trail running,1,0,1,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),10,No,Que disfrute,A pie
24.0,Mujer,España,0,No,Avanzada (rutas largas con mochila/montaña),Alta,"Deportivo, Cultural/turístico, Personal/reflexivo",Desconocido,Verano,1,Portugués,6.0,Tui,100,Suaves,Botas de montaña,1,1,1,Albergues privados,En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"respira, disfruta del paisaje y reflexiona todo eso que llevas en la cabeza durante la travesía; el sentimiento de paz al durante y al acabar es indescriptible ",A pie
32.0,Hombre,Perú,0,No,Avanzada (rutas largas con mochila/montaña),Media,Turismo,Desconocido,Primavera,0,Portugués,4.0,Pontevedra,100,Suaves,Botas de montaña,1,0,1,Hostales / Hoteles,Este año,Tal vez,Medias (~20 km con algo de desnivel),7,No,Que evite los fines de semana y la temporada alta de verano.,A pie
32.0,Mujer,España,0,No,Avanzada (rutas largas con mochila/montaña),Media,Cultural/turístico,3.0,Verano,1,Portugués,6.0,Tui,100,Muy variables,Botas de montaña,1,0,1,Albergues privados,En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,Sin respuesta,A pie
29.0,Mujer,Portugal,0,No,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,Desconocido,Otoño,0,Portugués,6.0,Porto,100,Moderadas,Botas de montaña,1,0,0,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Sin respuesta,A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,"Cultural/turístico, Personal/reflexivo",3.0,Verano,1,Portugués,7.0,A Guarda,100,Moderadas,Zapatillas deportivas normales,0,0,1,"Albergues privados, Hostales / Hoteles",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve",Mente abierta y disfrutar del camino y de las personas,A pie
32.0,Mujer,España,0,No,Ninguna,Media,"Deportivo, Cultural/turístico",Desconocido,Verano,0,Francés,5.0,Sarria,100,Moderadas,Zapatillas de trail running,1,0,1,Hostales / Hoteles,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,Importante buen calzado y buenos calcetines,A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,Personal/reflexivo,Desconocido,Verano,1,Francés,30.0,Roncesvalles,800,Moderadas,Zapatillas de trail running,1,0,0,Albergues públicos,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,Sin respuesta,A pie
32.0,Mujer,España,0,No,Ninguna,Media,"Religioso, Deportivo, Personal/reflexivo",Desconocido,Primavera,0,Primitivo,6.0,Oviedo,100,Moderadas,Zapatillas deportivas normales,1,1,1,"Albergues públicos, Albergues privados",Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, importante (me hizo abandonar)",Sin respuesta,A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,"Deportivo, Cultural/turístico, Personal/reflexivo",3.0,Verano,0,Francés,5.0,Sarria,100,Suaves,Zapatillas de trail running,1,1,1,Hostales / Hoteles,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Sin respuesta,A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Media,"Religioso, Personal/reflexivo, Una cosa te lleva  a la otra si darte cuenta.",3.0,Verano,1,Portugués,6.0,Tui,100,Moderadas,Zapatillas de trail running,1,1,1,Hostales / Hoteles,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Que entrenará un poco varios meses antes,A pie
32.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Deportivo",Desconocido,Verano,1,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,0,0,No aplica,Este año,Sí,Medias (~20 km con algo de desnivel),8,No,Sin respuesta,A pie
30.0,Hombre,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Cultural/turístico, Personal/reflexivo",3.0,Verano,0,del Norte,6.0,Gijón,200,Moderadas,Zapatillas de trail running,1,0,0,"Albergues públicos, Albergues privados, Hostales / Hoteles",Más de 2 años,Tal vez,Medias (~20 km con algo de desnivel),9,No,Ir predispuesto a conocer gente y a pasárselo genial. El dolor es pasajero ;),A pie
32.0,Mujer,España,0,No,Ninguna,Media,Personal/reflexivo,Desconocido,Invierno,0,Portugués,8.0,Caminha,100,Moderadas,Zapatillas de trail running,1,0,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, moderado","Preparar muy muy bien los pies ya que es lo más importante. Y sobretodo, no pensar en el final del camino ni en la cantidad de km que quedan, sino disfrutar de cada etapa, porque cuando te das cuenta ya has llegado! ",A pie
32.0,Mujer,España,0,No,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,3.0,Otoño,0,Primitivo,6.0,Sarria,100,Moderadas,Botas de montaña,1,1,1,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Llevar un buen calzado y ropa para la lluvia 😊,A pie
32.0,Mujer,México,0,No,Moderada (10–20 km regularmente),Baja,Personal/reflexivo,Desconocido,Primavera,0,Portugués,8.0,Tui,100,Moderadas,Botas de montaña,1,1,1,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve","Llevar buen calzado y equipar bien la mochila (chubasquero, crema anti fricción, mini botiquín, enchufe ladron), estar consiente que se requerirá un gran esfuerzo físico y mental, e ir abierto a vivir esa maravillosa experiencia ",A pie
32.0,Mujer,España,1,Enfermedad Inflamatoria Intestinal,Básica (≤ 10 km ocasionalmente),Media,"Deportivo, Personal/reflexivo",Desconocido,Primavera,0,Desconocido,6.0,Santiago - Fisterra,100,Moderadas,Zapatillas de trail running,1,0,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,"Mucha confianza en su propio cuerpo y, sobre todo, en su mente. Y calzado adecuado y mucha vaselina ya que no me salió ni una ampolla!",A pie
16.0,Mujer,España,0,No,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",6.0,Primavera,0,Francés,6.0,Sarria,100,Moderadas,Botas de montaña,1,1,1,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),10,No,Sin respuesta,A pie
17.0,Mujer,España,1,Escoliosis,Básica (≤ 10 km ocasionalmente),Baja,"Religioso, Deportivo, Personal/reflexivo",6.0,Primavera,0,Francés,5.0,Sarria,100,Moderadas,Zapatillas de trail running,1,1,1,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Que parctiquen antes y que lleven mucha agua, que no se paren mucho porque las ampollas duelen mas cuando te paras y que descansen bien",A pie
