Marca temporal,Edad,Género,País de origen,¿Tienes alguna condición física o lesión que deba tenerse en cuenta?,"Si tienes alguna condición física o lesión que deba tenerse en cuenta, cuál es?",¿Qué nivel de experiencia tenías en senderismo o caminatas largas?,¿Cómo era tu condición física antes de empezar el Camino?,Motivo/s principal/es para hacer el Camino,¿Con cuántas personas hiciste el Camino?,¿Qué época del año lo hiciste?,¿Habías hecho el camino anteriormente?,¿Qué ruta del Camino hiciste?,¿Cuántos días te llevó completarlo?,¿Desde donde lo empezaste?,¿Qué distancia total caminaste (aproximadamente)?,¿Qué tan duras fueron las etapas que hiciste en general?,¿Qué tipo de calzado usaste principalmente durante el Camino?,¿Tu calzado fue adecuado para el tipo de terreno y etapas?,¿Usaste transporte de mochila?,¿Reservaste alojamientos con antelación?,¿En qué tipo o tipos de alojamiento te hospedaste durante tu estancia?,¿Hace cuánto hiciste el Camino?,¿Volverías a hacer el Camino?,¿Cuál crees que es tu tipo ideal de etapa?,¿Qué nota le das a tu experiencia en el Camino? (0–10),¿Tuviste alguna lesión o problema físico durante el camino?,¿Qué consejos darías a alguien como tú antes de hacer el Camino?,Medio de transporte
2025-06-17 18:13:03.270,veintitrés,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Verano,No,Francés,5,Sarria,100–200 km,Moderadas,Botas de montaña,No,No,Sí,"Albergues privados, Hostales / Hoteles",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve",,
2025-06-17 18:26:55.919,veintiocho,Hombre,España,,,Avanzada (rutas largas con mochila/montaña),Media,"Deportivo, Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Verano,No,Francés,5,Sarria,100–200 km,Moderadas,Playeros ,No,No,Sí,"Albergues públicos, Albergues privados, Hostales / Hoteles",Más de 2 años,Sí,Medias (~20 km con algo de desnivel),9,No,Hacer etapas parecidas en distancia y terreno antes,
2025-06-17 18:55:36.824,cincuenta y siete,Hombre,España,,,Moderada (10–20 km regularmente),Media,"Religioso, Cultural/turístico",En grupo organizado (>6),Primavera,Sí,Francés,siete,O Cebreiro,100–200 km,Moderadas,Botas de montaña,Sí,Sí,Sí,Hostales / Hoteles,Más de 2 años,Sí,Medias (~20 km con algo de desnivel),8,"Sí, leve",,
2025-06-17 20:45:31.528,veinticinco,Mujer,Colombia,,Migrañas tensionales,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,En pareja,Primavera,No,Inglés,seis,Ferrol,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,Sí,Sí,"Albergues privados, Hostales / Hoteles",Este año,Sí,Medias (~20 km con algo de desnivel),9,No,,
2025-06-17 21:12:37.526,21,Mujer,España,,,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Cultural/turístico, Personal/reflexivo",En grupo organizado (>6),Verano,Sí,Francés,seis,Sarrià,100–200 km,Moderadas,Botas de montaña,Sí,Sí,Sí,Albergues privados,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve","Prefiero no revelar y que cada uno viva su camino, a mí me cambió la vida hace cinco años y desde ese momento lo hago todos los años, es una experiencia única y que todo el que lo hace disfruta",
2025-06-17 21:57:57.871,32,Mujer,España,No,,Ninguna,Media,Disfrutar de mis amigos,En grupo pequeño (3–6 personas),Verano,No,Francés,cinco,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,Sí,Sí,Albergues privados,En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),10,No,Disfrutarlo al maximo,
2025-06-17 22:01:12.664,veinticuatro,Mujer,España,No,,Ninguna,Baja,Cultural/turístico,En grupo pequeño (3–6 personas),Primavera,No,Francés,cinco,Sarriá,100–200 km,Moderadas,Zapatillas de trail running,Sí,Sí,Sí,"Hostales / Hoteles, Airbnb",En los últimos 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,Disfrutarlo ,
2025-06-17 23:29:14.692,treinta,Mujer,España,,Ninguna ,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,En pareja,Primavera,No,Francés,cinco,Sarria,100–200 km,Moderadas,Botas de montaña,Sí,No,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,,
2025-06-18 01:10:10.184,20,Mujer,España,No,,Ninguna,Media,"Deportivo, Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Verano,No,Portugués,siete,A Guarda,100–200 km,Moderadas,Zapatillas deportivas normales,Sí,Sí,Sí,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Medias (~20 km con algo de desnivel),8,"Sí, leve",,
2025-06-18 10:27:48.191,25,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Media,Personal/reflexivo,En grupo pequeño (3–6 personas),Primavera,No,Francés,5,Sarria,100–200 km,Exigentes,Zapatillas de trail running,Sí,Sí,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, leve","Hazlo, y llévate mucho compeed!",
2025-06-18 11:11:10.519,23,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Media,Cultural/turístico,En grupo organizado (>6),Verano,Sí,Francés,10,O Cebréiro,100–200 km,Exigentes,Zapatillas de trail running,Sí,No,Sí,"Albergues públicos, Albergues privados, Airbnb",Más de 2 años,Sí,Cortas y fáciles (≤ 15 km),8,No,,
2025-06-18 11:14:16.376,veintiséis,Mujer,España,,,Ninguna,Media,"Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Otoño,No,Francés,6,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,Sí,Sí,Albergues públicos,Este año,Sí,Medias (~20 km con algo de desnivel),10,"Sí, moderado",,
2025-06-18 13:04:42.156,veintiséis,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Media,"Religioso, Personal/reflexivo",En pareja,Primavera,Sí,Portugués,cinco,Tui,100–200 km,Muy variables,Botas de montaña,Sí,No,Sí,Albergues privados,Este año,Sí,Medias (~20 km con algo de desnivel),9,"Sí, leve","Que se prepare un mínimo físicamente, que lleve en la mochila lo imprescindible y que le ponga muy buena actitud porque habrá momentos duros pero con alegría todo se lleva mejor!! ",
2025-06-18 13:45:05.179,veintiséis,Mujer,España,,,Moderada (10–20 km regularmente),Alta,Personal/reflexivo,Solo/a,Primavera,No,Francés,6,Sarria,100–200 km,Moderadas,Zapatillas de trail running,Sí,Sí,Sí,Hostales / Hoteles,Este año,Sí,Medias (~20 km con algo de desnivel),10,No,Yo lo hice corriendo ,
2025-06-18 13:58:12.235,31,Mujer,España,No,,Básica (≤ 10 km ocasionalmente),Alta,"Cultural/turístico, Personal/reflexivo",Solo/a,Primavera,No,Francés,5,Sarria,100–200 km,Moderadas,Sandalias de trekking,Sí,Sí,Sí,Hostales / Hoteles,Este año,Sí,Largas y exigentes (≥ 25 km),10,"Sí, leve",,
2025-06-18 14:01:52.904,veintiséis,Hombre,España,No,,Avanzada (rutas largas con mochila/montaña),Alta,"Religioso, Deportivo, Cultural/turístico, Personal/reflexivo",En grupo pequeño (3–6 personas),Primavera,No,,5,Porrá do Brollon,200–400 km,Moderadas,Zapatillas de trail running,Sí,No,Sí,"Albergues públicos, Albergues privados",En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),10,No,Que disfrute,
2025-06-18 14:27:05.665,24,Mujer,España,No,,Avanzada (rutas largas con mochila/montaña),Alta,"Deportivo, Cultural/turístico, Personal/reflexivo",En pareja,Verano,Sí,Portugués,cuatro,Tui,100–200 km,Suaves,Botas de montaña,Sí,Sí,Sí,Albergues privados,En los últimos 2 años,Sí,Largas y exigentes (≥ 25 km),9,No,"respira, disfruta del paisaje y reflexiona todo eso que llevas en la cabeza durante la travesía; el sentimiento de paz al durante y al acabar es indescriptible ",
2025-06-18 14:35:48.895,treinta y siete,Hombre,Perú,,,Avanzada (rutas largas con mochila/montaña),Media,Turismo,Solo/a,Primavera,No,Portugués,4,Pontevedra,Menos de 100 km,Suaves,Botas de montaña,Sí,No,Sí,Hostales / Hoteles,Este año,Tal vez,Medias (~20 km con algo de desnivel),7,No,Que evite los fines de semana y la temporada alta de verano.,
