edad,is_condicion_fisica,detalle_condicion,epoca,is_camino_realizado_prev,ruta,dias,distancia,is_calzado_adecuado,is_tr_mochila,is_reserva_aloj,etapa_ideal,nota,consejos,intensidad_km_dia,is_experto_senderismo,genero_Mujer,pais_Argentina,pais_Colombia,pais_EEUU,pais_España,pais_Francia,pais_Italia,pais_México,pais_Perú,pais_Portugal,pais_Reino Unido,calzado_Playeros ,calzado_Sandalias de trekking,calzado_Zapatillas de trail running,calzado_Zapatillas deportivas normales,modo_realizacion_A pie,modo_realizacion_En bici,"alojamiento_Albergues privados, Hostales / Hoteles",alojamiento_Albergues públicos,"alojamiento_Albergues públicos, Albergues privados","alojamiento_Albergues públicos, Albergues privados, Airbnb","alojamiento_Albergues públicos, Albergues privados, Hostales / Hoteles",alojamiento_Hostales / Hoteles,"alojamiento_Hostales / Hoteles, Airbnb","alojamiento_Hostales / Hoteles, Pensiones",alojamiento_No aplica,is_volver_a_hacer_Tal vez,"is_lesion_Sí, importante (me hizo abandonar)","is_lesion_Sí, leve","is_lesion_Sí, moderado","alojamiento_Albergues privados, Hostales / Hoteles.1",alojamiento_Albergues públicos.1,"alojamiento_Albergues públicos, Albergues privados.1","alojamiento_Albergues públicos, Albergues privados, Airbnb.1","alojamiento_Albergues públicos, Albergues privados, Hostales / Hoteles.1",alojamiento_Hostales / Hoteles.1,"alojamiento_Hostales / Hoteles, Airbnb.1","alojamiento_Hostales / Hoteles, Pensiones.1",alojamiento_No aplica.1,"motivo_Cultural/turístico, Deportivo","motivo_Cultural/turístico, Deportivo, Personal/reflexivo","motivo_Cultural/turístico, Deportivo, Religioso","motivo_Cultural/turístico, Personal/reflexivo","motivo_Cultural/turístico, Personal/reflexivo, Religioso","motivo_Cultural/turístico, Religioso",motivo_Deportivo,"motivo_Deportivo, Cultural/turístico","motivo_Deportivo, Cultural/turístico, Personal/reflexivo","motivo_Deportivo, Personal/reflexivo","motivo_Deportivo, Personal/reflexivo, Religioso","motivo_Deportivo, Religioso",motivo_Disfrutar de mis amigos,motivo_Personal/reflexivo,"motivo_Personal/reflexivo, Religioso",motivo_Religioso,"motivo_Religioso, Cultural/turístico","motivo_Religioso, Cultural/turístico, Personal/reflexivo","motivo_Religioso, Deportivo","motivo_Religioso, Deportivo, Cultural/turístico, Personal/reflexivo","motivo_Religioso, Deportivo, Personal/reflexivo","motivo_Religioso, Personal/reflexivo","motivo_Religioso, Personal/reflexivo, Una cosa te lleva  a la otra si darte cuenta.",motivo_Turismo,nivel_expereincia_previo_Básica (≤ 10 km ocasionalmente),nivel_expereincia_previo_Moderada (10–20 km regularmente),nivel_expereincia_previo_Ninguna,condicion_previa_Baja,condicion_previa_Media,dureza_Moderadas,dureza_Muy variables,dureza_Suaves,hace_cuanto_Este año,hace_cuanto_Más de 2 años,temporada_Otoño,temporada_Primavera,temporada_Verano,grupo_edad_30-39,grupo_edad_40-49,grupo_edad_50-59,grupo_edad_60-70,is_lesion,is_volver_binaria,prob_lesion_pred,prob_volver_pred,prob_transporte_mochila_pred,prob_reserva_aloj_pred,nota_pred,intensidad_km_dia_pred,ruta_recom_vecinos,epoca_recom_vecinos
32.0,0,No,Verano,0,Francés,5.0,100,0,0,1,Medias (~20 km con algo de desnivel),9.0,Sin respuesta,20.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0.6775,0.885,0.3025,0.995,9.0325,20.0,Francés,Primavera
32.0,0,No,Verano,0,Francés,5.0,100,0,0,1,Medias (~20 km con algo de desnivel),9.0,Hacer etapas parecidas en distancia y terreno antes,20.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0.0275,0.9975,0.3775,0.06,8.8825,20.0,Portugués,Verano
32.0,0,No,Primavera,1,Francés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),8.0,Sin respuesta,16.666666666666668,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0.645,0.95,0.2625,0.9875,8.56,16.66666666666673,Francés,Otoño
32.0,0,Migrañas tensionales,Primavera,0,Inglés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),9.0,Sin respuesta,16.666666666666668,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.0225,0.995,0.13,0.9775,8.68,16.66666666666673,Francés,Verano
21.0,0,No,Verano,1,Francés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,"Prefiero no revelar y que cada uno viva su camino, a mí me cambió la vida hace cinco años y desde ese momento lo hago todos los años, es una experiencia única y que todo el que lo hace disfruta",16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.705,0.9275,0.2475,0.3575,8.5675,16.666666666666732,Francés,Otoño
32.0,0,No,Verano,0,Francés,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,Disfrutarlo al maximo,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.9975,0.105,0.175,8.5825,16.66666666666673,Francés,Verano
32.0,0,No,Primavera,0,Francés,6.0,100,1,1,1,Cortas y fáciles (≤ 15 km),8.0,Disfrutarlo ,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.005,0.9875,0.0475,0.96,8.575,16.66666666666673,Portugués,Primavera
32.0,0,Ninguna ,Primavera,0,Francés,6.0,100,1,0,1,Medias (~20 km con algo de desnivel),10.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.0125,0.9975,0.2225,0.9875,9.2525,16.66666666666673,Francés,Primavera
20.0,0,No,Verano,0,Portugués,6.0,100,1,1,1,Medias (~20 km con algo de desnivel),8.0,Sin respuesta,16.666666666666668,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0.64,0.915,0.24,0.5575,8.76,16.66666666666673,Francés,Verano
25.0,0,No,Primavera,0,Francés,5.0,100,1,1,1,Medias (~20 km con algo de desnivel),10.0,"Hazlo, y llévate mucho compeed!",20.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0.6225,0.9275,0.3025,0.9725,8.63,20.0,Francés,Primavera
