edad	is_condicion_fisica	detalle_condicion	epoca	is_camino_realizado_prev	ruta	dias	distancia	is_calzado_adecuado	is_tr_mochila	is_reserva_aloj	etapa_ideal	nota	consejos	intensidad_km_dia	is_experto_senderismo	genero_Mujer	pais_Argentina	pais_Colombia	pais_EEUU	pais_Espana	pais_Francia	pais_Italia	pais_Mexico	pais_Peru	pais_Portugal	pais_Reino_Unido	calzado_Playeros	calzado_Sandalias_de_trekking	calzado_Zapatillas_de_trail_running	calzado_Zapatillas_deportivas_normales	modo_realizacion_A_pie	modo_realizacion_En_bici	alojamiento_Albergues_privados_Hostales__Hoteles	alojamiento_Albergues_publicos	alojamiento_Albergues_publicos_Albergues_privados	alojamiento_Albergues_publicos_Albergues_privados_Airbnb	alojamiento_Albergues_publicos_Albergues_privados_Hostales__Hoteles	alojamiento_Hostales__Hoteles	alojamiento_Hostales__Hoteles_Airbnb	alojamiento_Hostales__Hoteles_Pensiones	alojamiento_No_aplica	is_volver_a_hacer_Tal_vez	is_lesion_Si_importante_me_hizo_abandonar	is_lesion_Si_leve	is_lesion_Si_moderado	alojamiento_Albergues_privados_Hostales__Hoteles.1	alojamiento_Albergues_publicos.1	alojamiento_Albergues_publicos_Albergues_privados.1	alojamiento_Albergues_publicos_Albergues_privados_Airbnb.1	alojamiento_Albergues_publicos_Albergues_privados_Hostales__Hoteles.1	alojamiento_Hostales__Hoteles.1	alojamiento_Hostales__Hoteles_Airbnb.1	alojamiento_Hostales__Hoteles_Pensiones.1	alojamiento_No_aplica.1	motivo_Cultural_turistico_Deportivo	motivo_Cultural_turistico_Deportivo_Personal_reflexivo	motivo_Cultural_turistico_Deportivo_Religioso	motivo_Cultural_turistico_Personal_reflexivo	motivo_Cultural_turistico_Personal_reflexivo_Religioso	motivo_Cultural_turistico_Religioso	motivo_Deportivo	motivo_Deportivo_Cultural_turistico	motivo_Deportivo_Cultural_turistico_Personal_reflexivo	motivo_Deportivo_Personal_reflexivo	motivo_Deportivo_Personal_reflexivo_Religioso	motivo_Deportivo_Religioso	motivo_Disfrutar_de_mis_amigos	motivo_Personal_reflexivo	motivo_Personal_reflexivo_Religioso	motivo_Religioso	motivo_Religioso_Cultural_turistico	motivo_Religioso_Cultural_turistico_Personal_reflexivo	motivo_Religioso_Deportivo	motivo_Religioso_Deportivo_Cultural_turistico_Personal_reflexivo	motivo_Religioso_Deportivo_Personal_reflexivo	motivo_Religioso_Personal_reflexivo	motivo_Religioso_Personal_reflexivo_Una_cosa_te_lleva_a_la_otra_si_darte_cuenta.	motivo_Turismo	nivel_expereincia_previo_Basica__10_km_ocasionalmente	nivel_expereincia_previo_Moderada_1020_km_regularmente	nivel_expereincia_previo_Ninguna	condicion_previa_Baja	condicion_previa_Media	dureza_Moderadas	dureza_Muy_variables	dureza_Suaves	hace_cuanto_Este_ano	hace_cuanto_Mas_de_2_anos	temporada_Otono	temporada_Primavera	temporada_Verano	grupo_edad_30-39	grupo_edad_40-49	grupo_edad_50-59	grupo_edad_60-70	is_volver_binaria	is_volver_talvez	is_lesion	prob_lesion_pred_rf	prob_lesion_pred_lr	prob_lesion_pred_nb	prob_lesion_pred	prob_transporte_mochila_pred_rf	prob_transporte_mochila_pred_lr	prob_transporte_mochila_pred_nb	prob_transporte_mochila_pred	prob_reserva_aloj_pred_rf	prob_reserva_aloj_pred_lr	prob_reserva_aloj_pred_nb	prob_reserva_aloj_pred	nota_pred_rf	nota_pred_linreg	nota_pred	intensidad_km_dia_pred_rf	intensidad_km_dia_pred_linreg	intensidad_km_dia_pred	ruta_recom_vecinos	epoca_recom_vecinos
32.0	0	No	Verano	0	Francés	5.0	100	0	0	1	Medias (~20 km con algo de desnivel)	9.0	Sin respuesta	20.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0.6925	0.9962594837135865	1.0	0.9962594837135865	0.2575	0.9698234734943911	1.0	1.0	0.9825	0.9999998940011149	1.0	0.9999998940011149	9.0425	9.885291191374463	9.885291191374463	20.0	24.1553020977005	20.0	Francés	Primavera
32.0	0	No	Verano	0	Francés	5.0	100	0	0	1	Medias (~20 km con algo de desnivel)	9.0	Hacer etapas parecidas en distancia y terreno antes	20.0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0.0275	0.0040183614195109935	1.0	0.0040183614195109935	0.4025	0.999343219610281	1.0	1.0	0.0675	0.30711930568127344	1.0	0.30711930568127344	8.895	9.506342329989613	9.506342329989613	20.0	19.679241704076215	20.0	Portugués	Verano
32.0	0	No	Primavera	1	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	8.0	Sin respuesta	16.666666666666668	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0.67	0.9983355930620351	1.0	0.9983355930620351	0.295	0.739380120958004	0.9999436103864109	0.9999436103864109	0.985	0.9970027873025777	1.0	0.9970027873025777	8.545	8.55629088080528	8.55629088080528	16.66666666666673	18.420866686417618	16.66666666666673	Francés	Otoño
32.0	0	Migrañas tensionales	Primavera	0	Inglés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	9.0	Sin respuesta	16.666666666666668	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0.0375	0.0008552527701524991	0.005795056095630119	0.0008552527701524991	0.135	0.4865496198138193	0.9565661593636148	0.9565661593636148	0.955	0.9943886903182112	1.0	0.9943886903182112	8.6875	8.811197102016916	8.811197102016916	16.66666666666673	17.201193547227433	16.66666666666673	Francés	Verano
21.0	0	No	Verano	1	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10.0	Prefiero no revelar y que cada uno viva su camino, a mí me cambió la vida hace cinco años y desde ese momento lo hago todos los años, es una experiencia única y que todo el que lo hace disfruta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.6925	0.9977700781318982	1.0	0.9977700781318982	0.275	0.0013123178164706104	0.0	0.0	0.36	0.41072317514364276	5.942409485024124e-24	0.41072317514364276	8.555	9.082744890541678	9.082744890541678	16.666666666666732	15.961680908167743	16.666666666666732	Portugués	Otoño
32.0	0	No	Verano	0	Francés	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10.0	Disfrutarlo al maximo	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.0	0.0005562709623755	0.46159675134140266	0.0005562709623755	0.125	0.39544214094365215	0.9961536393106404	0.9961536393106404	0.16	0.16618452282199542	1.6849610187329362e-29	0.16618452282199542	8.5575	8.66827539265701	8.66827539265701	16.66666666666673	18.81796104504755	16.66666666666673	Francés	Verano
32.0	0	No	Primavera	0	Francés	6.0	100	1	1	1	Cortas y fáciles (≤ 15 km)	8.0	Disfrutarlo 	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0.0025	0.0008016334467896904	0.9094644978997395	0.0008016334467896904	0.075	0.431813797214156	0.9148604905129256	0.9148604905129256	0.95	0.9977988768025484	1.0	0.9977988768025484	8.5725	8.671056575470674	8.671056575470674	16.66666666666673	18.072080939523598	16.66666666666673	Portugués	Primavera
32.0	0	Ninguna 	Primavera	0	Francés	6.0	100	1	0	1	Medias (~20 km con algo de desnivel)	10.0	Sin respuesta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0.0125	0.0010459776265384789	0.0016743183893709703	0.0010459776265384789	0.1975	0.5032550685909022	0.44678984786653	0.44678984786653	0.9925	0.9953726032178274	1.0	0.9953726032178274	9.2125	8.620768150303865	8.620768150303865	16.66666666666673	17.695772864430392	16.66666666666673	Francés	Primavera
20.0	0	No	Verano	0	Portugués	6.0	100	1	1	1	Medias (~20 km con algo de desnivel)	8.0	Sin respuesta	16.666666666666668	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.6175	0.9962200639138079	1.0	0.9962200639138079	0.255	0.8884538213646958	1.0	1.0	0.59	0.9999680515199005	1.0	0.9999680515199005	8.7575	9.153785370556077	9.153785370556077	16.666666666666732	17.267651106786843	16.666666666666732	Francés	Verano
25.0	0	No	Primavera	0	Francés	5.0	100	1	1	1	Medias (~20 km con algo de desnivel)	10.0	Hazlo, y llévate mucho compeed!	20.0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0.655	0.9981444354310887	1.0	0.9981444354310887	0.315	0.7606021638167395	0.9999738918198686	0.9999738918198686	0.98	0.9990734679317648	1.0	0.9990734679317648	8.6325	8.28547129780383	8.28547129780383	20.0	19.068234643669914	20.0	Francés	Primavera
